#sample_accession	run_accession	paired	Tissue	Sub_Tissue	Origin	Age_Days	Source
SRS636078	SRR1387264	y	Brain	.Brain_Frontal.Cortex.(BA9).	Adult.Tissue	.	old
SRS636088	SRR1387475	y	Heart	.Heart_Atrial.Appendage.	Adult.Tissue	.	old
SRS636149	SRR1388437	y	Colon	.Colon_Transverse.	Adult.Tissue	.	old
SRS636235	SRR1388788	y	Colon	.Colon_Sigmoid.	Adult.Tissue	.	old
SRS636254	SRR1389059	y	Brain	.Brain_Hypothalamus.	Adult.Tissue	.	old
SRS636264	SRR1389218	y	Brain	.Brain_Hippocampus.	Adult.Tissue	.	old
SRS636338	SRR1389955	y	Salivary.Gland	.Minor.Salivary.Gland.	Adult.Tissue	.	old
SRS636345	SRR1390119	y	Pituitary	.Pituitary.	Adult.Tissue	.	old
SRS636364	SRR1390516	y	Brain	.Brain_Hippocampus.	Adult.Tissue	.	old
SRS636575	SRR1391922	y	Brain	.Brain_Cortex.	Adult.Tissue	.	old
SRS636687	SRR1392525	y	Adrenal.Gland	.Adrenal.Gland.	Adult.Tissue	.	old
SRS636708	SRR1392835	y	Blood.Vessel	.Artery_Coronary.	Adult.Tissue	.	old
SRS637031	SRR1392943	y	Adipose.Tissue	.Adipose_Visceral.(Omentum).	Adult.Tissue	.	old
SRS637275	SRR1394297	y	Brain	.Brain_Amygdala.	Adult.Tissue	.	old
SRS637287	SRR1394566	y	Brain	.Brain_Hypothalamus.	Adult.Tissue	.	old
SRS637298	SRR1394799	y	Brain	.Brain_Cerebellum.	Adult.Tissue	.	old
SRS637636	SRR1396227	y	Spleen	.Spleen.	Adult.Tissue	.	old
SRS637655	SRR1396659	y	Brain	.Brain_Spinal.cord.(cervical.c-1).	Adult.Tissue	.	old
SRS637677	SRR1397094	y	Brain	.Brain_Nucleus.accumbens.(basal.ganglia).	Adult.Tissue	.	old
SRS637717	SRR1397906	y	Brain	.Brain_Anterior.cingulate.cortex.(BA24).	Adult.Tissue	.	old
SRS637734	SRR1398272	y	Colon	.Colon_Sigmoid.	Adult.Tissue	.	old
SRS637736	SRR1398311	y	Heart	.Heart_Atrial.Appendage.	Adult.Tissue	.	old
SRS637805	SRR1398992	y	Brain	.Brain_Cerebellum.	Adult.Tissue	.	old
SRS637813	SRR1399156	y	Stomach	.Stomach.	Adult.Tissue	.	old
SRS637817	SRR1399247	y	Stomach	.Stomach.	Adult.Tissue	.	old
SRS637846	SRR1399821	y	Blood.Vessel	.Artery_Aorta.	Adult.Tissue	.	old
SRS637847	SRR1399843	y	Blood.Vessel	.Artery_Tibial.	Adult.Tissue	.	old
